3;floating_harbor;3675.00;9.50;1896.00;-1.57;9603
128;floating_harbor;5541.87;9.50;1301.74;-3.61;5089
196;floating_harbor;2496.00;9.50;952.00;1.57;8526
225;floating_harbor;3034.22;9.50;936.89;-0.17;1459
238;floating_harbor;182.70;9.50;789.07;-0.95;8797
312;floating_harbor;3.40;9.50;461.20;0.93;5497
355;floating_harbor;3950.10;9.50;205.37;0.43;6685
358;floating_harbor;3991.90;9.50;194.37;-0.43;909
359;floating_harbor;3932.01;9.50;214.70;-0.29;5364
1;arms_factory;38.00;12.70;1926.00;4.84;0
1;arms_factory;101.00;11.80;2023.00;1.22;0
1;arms_factory;33.00;12.12;1951.00;5.34;0
1;arms_factory;61.00;13.05;2026.00;0.26;0
1;arms_factory;99.00;10.98;1976.00;3.28;0
1;arms_factory;64.00;11.50;1982.00;5.95;0
1;industrial_complex;106.00;11.40;1998.00;2.33;0
1;industrial_complex;104.00;12.73;2042.00;0.17;0
1;industrial_complex;2.00;12.05;2025.00;1.73;0
1;industrial_complex;84.00;13.23;2038.00;4.39;0
1;industrial_complex;29.00;11.25;1965.00;0.78;0
1;industrial_complex;31.00;12.80;1921.00;4.90;0
1;air_base;1.00;11.70;1936.00;5.00;0
1;supply_node;45.00;12.85;1948.00;4.30;0
1;supply_node;21.00;10.73;1976.00;0.95;0
1;supply_node;116.00;11.50;2009.00;3.88;0
1;supply_node;79.00;13.03;1961.00;0.18;0
1;supply_node;10.00;11.68;1913.00;3.12;0
1;supply_node;114.00;11.60;2039.00;4.60;0
1;supply_node;59.00;11.93;2015.00;2.36;0
1;supply_node;41.00;12.70;1917.00;3.84;0
1;supply_node;24.00;11.32;2013.00;0.49;0
1;supply_node;111.00;10.80;1971.00;3.42;0
1;supply_node;10.00;11.00;1947.00;6.01;0
1;supply_node;38.00;13.50;2037.00;2.66;0
1;supply_node;9.00;12.82;2037.00;4.14;0
1;supply_node;55.00;11.45;1982.00;1.90;0
1;supply_node;68.00;13.32;2040.00;4.83;0
1;supply_node;89.00;11.98;2026.00;0.03;0
1;supply_node;6.00;11.07;1998.00;4.07;0
1;supply_node;86.00;11.55;1995.00;5.55;0
1;bunker;13.00;11.15;1946.00;0.85;0
1;bunker;29.00;12.05;1942.00;3.51;0
1;bunker;77.00;11.50;1978.00;1.35;0
1;bunker;65.00;11.75;2017.00;1.46;0
1;bunker;134.00;11.88;2006.00;5.58;0
1;bunker;94.00;11.80;2021.00;1.96;0
1;bunker;12.00;10.30;1975.00;6.08;0
1;bunker;36.00;10.98;1993.00;6.18;0
1;bunker;12.00;11.80;1913.00;4.02;0
1;bunker;14.00;12.07;2028.00;0.41;0
1;bunker;6.00;10.53;1984.00;3.07;0
1;bunker;57.00;13.18;2036.00;6.09;0
1;bunker;109.00;11.15;1958.00;2.47;0
1;bunker;49.00;11.98;1904.00;5.13;0
1;bunker;27.00;12.95;2039.00;1.52;0
1;bunker;116.00;11.62;2030.00;4.54;0
